row_number;Identifiant_de_l_etablissement;Nom_etablissement
27592;0492444R;Ecole primaire publique Le Petit Prince
27593;0492447U;Ecole primaire privée Bienheureux Basile Moreau
27594;0492448V;Ecole Primaire privée Imagine Montessori
27595;0492449W;Ecole technique privée de production - AGAPE
27596;0492460H;Ecole primaire privée Cours le Gouvernail
27597;0492475Z;Ecole primaire privée Des Colibris
27598;0492478C;Ecole secondaire privée Foyer Saint Thomas d'Aquin
27599;0492479D;Ecole primaire privée Espace Maria Montessori
27600;0492483H;Ecole primaire privée International School of Angers
27601;0492484J;Ecole primaire publique Florence Arthaud
27602;0492486L;Ecole de production - Institut de formation technique de l'Ouest
27603;0492513R;Ecole primaire publique Emilie Oberkampf
27604;0492516U;Ecole secondaire professionnelle privée SANTELIA FORMATIVES ANGERS
27605;0492517V;Ecole secondaire professionnelle privée Centre de formation aux arts de la beauté et du bien-être
27606;0492530J;Ecole secondaire privée Collège Maria Montessori d'Angers
27607;0492531K;Ecole maternelle privée petit d'homme
27608;0492532L;Lycée général et technologique privé Saint-Benoît
27609;0492543Y;Ecole primaire privée Notre Dame des Champs
27610;0492544Z;Ecole primaire privée Notre Dame de la sagesse
27611;0492547C;Institut thérapeutique éducatif pédagogique Le Thouet
27612;0500001E;Collège Les Embruns
27613;0500002F;Lycée Émile Littré
27614;0500003G;Collège Challemel Lacour
27615;0500004H;Section d'enseignement général et professionnel adapté du collège Les Provinces
27616;0500010P;Collège Marcel Grillard
27617;0500011R;Collège Jean Follain
27618;0500012S;Collège Léon Gambetta
27619;0500014U;Collège Anne Heurgon Desjardins
27620;0500017X;Lycée Alexis de Tocqueville
27621;0500026G;Lycée Charles François Lebrun
27622;0500032N;Lycée professionnel Edmond Doucet
27623;0500034R;Collège Raymond le Corre
27624;0500035S;Collège Roland Vaudatin
27625;0500036T;Lycée Julliot de la Morandière
27626;0500037U;Section d'enseignement professionnel du lycée polyvalent Julliot de La Morandière
27627;0500039W;Collège André Malraux
27628;0500042Z;Collège Louis Beuve
27629;0500047E;Collège Tiphaigne de la Roche
27630;0500048F;Collège les Courtils
27631;0500049G;Lycée Robert de Mortain
27632;0500050H;Collège Robert de Mortain
27633;0500052K;Collège Le Moulin de Haut
27634;0500053L;Collège Le Fairage
27635;0500059T;Collège Jean Grémillon
27636;0500060U;Lycée agricole agroalimentaire et laboratoire Saint-Lô Thère
27637;0500061V;Collège Jules Verne
27638;0500062W;Collège le Ferronay
27639;0500065Z;Lycée Le Verrier
27640;0500066A;Section d'enseignement professionnel du lycée polyvalent Curie-Corot
27641;0500068C;Collège Saint-Exupéry
27642;0500069D;Collège Gilles de Gouberville
27643;0500071F;Collège Tancrède de Hauteville
27644;0500072G;Collège Barbey d'Aurevilly
27645;0500078N;Collège Raymond Queneau
27646;0500079P;Collège Albert Camus
27647;0500080R;Collège Denis Diderot
27648;0500082T;Lycée Henri Cornat
27649;0500087Y;Lycée Claude Lehec
27650;0500089A;Section d'enseignement professionnel du lycée polyvalent Alexis de Tocqueville
27651;0500090B;Section d'enseignement professionnel du lycée polyvalent Claude Lehec
27652;0500094F;Collège Georges Lavalley
27653;0500095G;Collège Louis Pasteur
27654;0500096H;Collège Félix Buhot
27655;0500098K;Centre d'information et d'orientation de Cherbourg
27656;0500099L;Centre d'information et d'orientation d'Avranches
27657;0500105T;Circonscription d'inspection du 1er degré de Coutances
27658;0500108W;Circonscription d'inspection du 1er degré de Saint-Lô Sud Maternelle
27659;0500109X;Circonscription d'inspection du 1er degré de Saint-Lô - ASH
27660;0500112A;Lycée Notre-Dame de la Providence
27661;0500116E;Lycée Jean-Paul II
27662;0500119H;Lycée Institution Sévigné
27663;0500120J;Lycée Institut Saint-Lô
27664;0500121K;Collège Le Bon Sauveur
27665;0500122L;Collège Notre-Dame
27666;0500123M;Collège Saint-Joseph
27667;0500127S;Lycée technologique le Bon Sauveur
27668;0500132X;Lycée professionnel Ingénieur Cachin
27669;0500139E;Institution Notre-Dame - Collège
27670;0500140F;Collège Saint-Joseph
27671;0500144K;Collège du Sacré-Coeur
27672;0500148P;Collège Immaculée Conception
27673;0500149R;Collège Immaculée Conception
27674;0500150S;Collège interparoissial
27675;0500152U;Collège de l'abbaye
27676;0500153V;Collège Notre-Dame
27677;0500155X;Collège Sainte-Marie
27678;0500167K;Ecole primaire des 7 lieux
27679;0500172R;Ecole élémentaire Acqueville
27680;0500175U;Ecole élémentaire Cotis Capel
27681;0500180Z;Ecole primaire Flottemanville-Hague
27682;0500181A;Ecole primaire RPI de la côte (Gréville-Hague)
27683;0500191L;Ecole primaire Louis Desmares (Tonneville)
27684;0500192M;Ecole primaire du bord de mer (Urville-Nacqueville)
27685;0500201X;Ecole élémentaire Louis Pinson
27686;0500202Y;Ecole primaire
27687;0500206C;Ecole primaire de la cabane fleurie
27688;0500220T;Ecole primaire Jean Monnet
27689;0500224X;Ecole primaire André Prévot-Valéri
27690;0500226Z;Ecole primaire Jacques Prévert
27691;0500229C;Ecole primaire de Coudeville-sur-mer
27692;0500232F;Ecole élémentaire Jean Moulin
27693;0500240P;Ecole maternelle
27694;0500248Y;Ecole primaire
27695;0500254E;Ecole primaire
27696;0500272Z;Ecole primaire Saint-Ebremond de Bonfossé
27697;0500273A;Ecole élémentaire
27698;0500281J;Ecole maternelle
27699;0500299D;Ecole primaire Isidore Delahaye
27700;0500317Y;Ecole primaire Ouville
27701;0500337V;Ecole primaire Fraternité
27702;0500346E;Ecole élémentaire Gibert-Zola
27703;0500352L;Ecole maternelle Alma
27704;0500358T;Ecole élémentaire
27705;0500369E;Ecole primaire  Les Tanneries
27706;0500371G;Ecole maternelle
27707;0500373J;Ecole primaire André Parisy
27708;0500375L;Ecole élémentaire RPI de la Baie
27709;0500378P;Ecole élémentaire Victor Hugo
27710;0500379R;Ecole maternelle les petits loups
27711;0500380S;Ecole primaire
27712;0500385X;Ecole primaire
27713;0500387Z;Ecole élémentaire
27714;0500389B;Ecole primaire René Hardy
27715;0500397K;Ecole primaire
27716;0500411A;Ecole élémentaire
27717;0500416F;Ecole primaire Henri Dès
27718;0500417G;Ecole primaire Jean Moulin
27719;0500419J;Ecole primaire Eric Tabarly
27720;0500434A;Ecole primaire Françoise Dolto
27721;0500467L;Ecole maternelle
27722;0500515N;Ecole primaire
27723;0500516P;Ecole primaire Roger MARNEFFE-LEBREQUIER
27724;0500517R;Ecole primaire Buisson Zola
27725;0500524Y;Ecole primaire Emile DOUCET
27726;0500526A;Ecole primaire Marie Ravenel
27727;0500529D;Ecole primaire
27728;0500534J;Ecole maternelle Pauline Kergomard
27729;0500551C;Ecole élémentaire Henri Menut
27730;0500553E;Ecole primaire
27731;0500556H;Ecole primaire la Saire
27732;0500560M;Ecole maternelle Paul Nicolle
27733;0500567V;Ecole maternelle Le Bois
27734;0500570Y;Ecole primaire
27735;0500571Z;Ecole élémentaire
27736;0500573B;Ecole primaire
27737;0500581K;Ecole élémentaire
27738;0500600F;Ecole élémentaire Sébastien Dos Santos borgès
27739;0500602H;Ecole élémentaire
27740;0500611T;Ecole primaire
27741;0500615X;Ecole élémentaire
27742;0500618A;Ecole primaire
27743;0500621D;Ecole primaire
27744;0500622E;Ecole élémentaire
27745;0500623F;Ecole maternelle
27746;0500631P;Ecole primaire
27747;0500632R;Ecole primaire Alphonse Sarchet
27748;0500633S;Ecole primaire des trois villages
27749;0500636V;Ecole primaire
27750;0500652M;Ecole primaire B. Duguesclin
27751;0500675M;Ecole primaire
27752;0500699N;Ecole primaire La Ritourn'Elle
27753;0500701R;Ecole primaire
27754;0500704U;Ecole élémentaire
27755;0500725S;Ecole maternelle Lecroisey
27756;0500736D;Ecole élémentaire
27757;0500741J;Ecole élémentaire La Croix-Vergoncey
27758;0500753X;Ecole primaire
27759;0500755Z;Ecole maternelle la Croix-Vergoncey
27760;0500775W;Ecole primaire RPI Graignes - Tribehou (Tribehou)
27761;0500778Z;Ecole primaire
27762;0500780B;Ecole primaire Gustave Blouet
27763;0500785G;Ecole primaire
27764;0500795T;Ecole maternelle le Mesnil-Raoult
27765;0500801Z;Ecole primaire Troisgots
27766;0500807F;Ecole maternelle Condé-sur-Vire
27767;0500820V;Groupe scolaire des 3 pommes (SAINT-AMAND VILLAGES)
27768;0500834K;Ecole primaire André Bouyer
27769;0500836M;Ecole primaire
27770;0500842U;Ecole élémentaire
27771;0500847Z;Ecole primaire
27772;0500849B;Ecole primaire
27773;0500852E;Ecole maternelle
27774;0500864T;Ecole primaire Tombelaine
27775;0500872B;Ecole primaire du bout de la mer
27776;0500876F;Ecole primaire
27777;0500909S;Ecole primaire
27778;0500911U;Ecole primaire Delisle Tocqueville
27779;0500916Z;Ecole du Pré Vert
27780;0500917A;Ecole primaire
27781;0500921E;Ecole primaire des Pensées
27782;0500925J;Ecole primaire
27783;0500929N;Ecole maternelle Villedieu les Poêles
27784;0500946G;Ecole primaire Marie COUPEY
27785;0500971J;Ecole primaire
27786;0500977R;Ecole primaire
27787;0500978S;Ecole primaire
27788;0500995K;Ecole primaire RPI Gratot
27789;0500996L;Ecole maternelle
27790;0501000R;Ecole primaire
27791;0501009A;Ecole primaire La Colombe
27792;0501040J;Ecole élémentaire  Pierre Lostis
27793;0501071T;Ecole primaire
27794;0501078A;Ecole publique du chateau
27795;0501086J;Ecole primaire la Chapelle-en-Juger
27796;0501098X;Ecole primaire les Reinettes
27797;0501100Z;Ecole primaire
27798;0501110K;Ecole maternelle
27799;0501137P;Ecole primaire
27800;0501138R;Ecole primaire
27801;0501149C;Ecole primaire André Parisy
27802;0501161R;Ecole primaire Le Parc
27803;0501170A;Ecole primaire
27804;0501172C;Ecole primaire
27805;0501173D;RPI Bacilly Vains
27806;0501174E;Ecole primaire A. de Saint Exupéry
27807;0501178J;Ecole primaire
27808;0501186T;Ecole primaire Le Clos des Sources
27809;0501201J;Collège l'abbaye
27810;0501205N;Collège les Provinces
27811;0501206P;Collège Jacques Prévert
27812;0501208S;Ecole maternelle Jacques Prévert
27813;0501211V;Ecole élémentaire  Hameau Noblet
27814;0501213X;Campus Métiers Nature de Coutances - lycée agricole
27815;0501216A;Collège Émile Zola
27816;0501217B;Collège André Miclot
27817;0501218C;Collège Étenclin
27818;0501219D;Lycée polyvalent Curie-Corot
27819;0501220E;Collège le Castillon
27820;0501232T;Établissement régional d'enseignement adapté Robert Doisneau
27821;0501234V;Agri'pôle Saint-Hilaire du Harcouët
27822;0501235W;Ecole maternelle les Tournesols
27823;0501237Y;Ecole élémentaire Hameau Baquesne
27824;0501239A;Collège la Vanlée
27825;0501241C;Collège Georges Brassens
27826;0501242D;Collège le Clos Tardif
27827;0501250M;Ecole primaire Les Palliers
27828;0501257V;Ecole  primaire Le Chat Perché
27829;0501258W;Ecole primaire Simone Veil
27830;0501261Z;Ecole primaire
27831;0501262A;Ecole primaire Canisy
27832;0501263B;Ecole primaire
27833;0501264C;Ecole primaire publique Le Corre - Ferry
27834;0501265D;Ecole primaire
27835;0501267F;Ecole publique Catherine DIOR
27836;0501268G;Ecole primaire des deux vallées (Juvigny-le-tertre)
27837;0501269H;Ecole primaire Julien Bodin (MARIGNY)
27838;0501270J;Ecole élémentaire  A. Lefiliatre
27839;0501271K;ECOLE PRIMAIRE JOSEPHINE BAKER
27840;0501272L;Ecole élémentaire La Forgette
27841;0501273M;Ecole élémentaire Alain Fournier
27842;0501274N;Ecole primaire André Bruno
27843;0501275P;Ecole primaire Coccin'elle
27844;0501276R;Ecole primaire Saint-James
27845;0501277S;Ecole primaire RPI Viridovix (St Jean de Daye)
27846;0501278T;Ecole élémentaire
27847;0501279U;Ecole primaire
27848;0501280V;Ecole primaire Jacqueline Maignan
27849;0501281W;Ecole primaire Antoine de Saint Exupéry
27850;0501283Y;INSTITUT THERAPEUT. EDUCATIF PEDAGOGIQUE
27851;0501284Z;Instituit médico éducatif Jean Itard La Glacerie Cherbourg en Cotentin
27852;0501285A;INSTITUT MEDICO-EDUCATIF
27853;0501289E;INSTITUT MEDICO-EDUCATIF
27854;0501290F;MAURICE MARIE
27855;0501292H;INSTITUT MEDICO-EDUCATIF
27856;0501296M;Ecole maternelle
27857;0501298P;INSTITUT MEDICO-EDUCATIF
27858;0501299R;Lycée Thomas Hélye
27859;0501301T;Collège Du Marais
27860;0501302U;Collège Pierre Aguiton
27861;0501303V;Ecole primaire privée Institut Saint Lo
27862;0501307Z;Ecole privée Sainte-Marie - Saint-Joseph
27863;0501309B;Ecole privée Saint Louis
27864;0501311D;Ecole primaire privée Sainte Marie-Madeleine
27865;0501314G;Ecole privée Jeanne d'Arc
27866;0501315H;Ecole privée Saint Joseph
27867;0501318L;Ecole privée Notre-Dame
27868;0501320N;Ecole privée Notre-Dame
27869;0501323S;Ecole primaire privée Sainte Marie
27870;0501324T;Ecole primaire privée Saint Joseph
27871;0501325U;Ecole primaire privée Notre-Dame du Voeu
27872;0501326V;Ecole primaire privée Sainte Marie du Roule
27873;0501328X;Ecole primaire privée Jean-Paul II
27874;0501333C;Ecole privée Les Saints-Pères
27875;0501334D;Ecole primaire privée Sainte-Marie (Equeurdreville)
27876;0501338H;Ecole privée Saint Paul
27877;0501345R;Ecole privée Sainte Marie
27878;0501346S;Ecole privée Saint Michel
27879;0501349V;Ecole privée Saint Joseph
27880;0501350W;Ecole privée Notre-Dame
27881;0501353Z;Ecole privée du Sacré-Coeur
27882;0501356C;Ecole primaire privée Sainte Jeanne d'Arc
27883;0501357D;Ecole privée Sainte Marie
27884;0501358E;Ecole privée de La Sainte-Famille
27885;0501360G;Ecole privée Notre-Dame
27886;0501364L;Ecole primaire privée Immaculée-Conception
27887;0501367P;Ecole primaire privée Immaculée-Conception
27888;0501370T;Ecole primaire privée interparoissial
27889;0501372V;Ecole privée Sainte Geneviève
27890;0501374X;Ecole privée Saint Joseph
27891;0501375Y;Ecole primaire privée Notre-Dame
27892;0501381E;Ecole primaire privée Notre-Dame
27893;0501383G;Ecole primaire privée Notre-Dame
27894;0501386K;Ecole privée Sainte Thérèse
27895;0501389N;Ecole privée Saint Martin
27896;0501392S;Ecole privée Sainte Marie
27897;0501393T;Ecole privée du Sacré-Coeur
27898;0501394U;Ecole primaire privée Saint Louis
27899;0501396W;Ecole primaire privée Notre-Dame de L'Esperance
27900;0501397X;Ecole privée Saint Michel
27901;0501401B;Ecole primaire privée Institution Notre-Dame
27902;0501411M;Ecole primaire privée Saint Paul
27903;0501413P;Ecole primaire
27904;0501414R;Ecole primaire
27905;0501415S;Ecole primaire Hebecrevon
27906;0501419W;Ecole primaire Quartier Bellevue
27907;0501420X;Ecole primaire Marie Ravenel
27908;0501424B;Ecole primaire
27909;0501425C;Ecole maternelle
27910;0501426D;Ecole de l'Oseraie
27911;0501427E;Ecole primaire
27912;0501434M;Ecole primaire Gilles Beaufils
27913;0501435N;Ecole primaire
27914;0501437R;Ecole primaire
27915;0501438S;Ecole primaire un, deux, trois couleurs
27916;0501441V;Ecole primaire
27917;0501448C;Ecole primaire  Les Claires Fontaines
27918;0501449D;Ecole primaire Dujardin
27919;0501453H;Ecole primaire
27920;0501456L;Institut Médico-Educatif - Dispositif de Soutien et de Formation de l'Avranchin
27921;0501457M;Section d'enseignement général et professionnel adapté du collège Diderot
27922;0501458N;Collège Desdevises du Dézert
27923;0501466X;école élémentaire Guy de MAUPASSANT
27924;0501467Y;Ecole privée Notre-Dame
27925;0501468Z;Ecole élémentaire Paul Bert
27926;0501469A;Ecole maternelle les Fauvettes
27927;0501470B;Ecole élémentaire Les Courlis
27928;0501471C;Ecole primaire LE BOCAGE
27929;0501473E;INSTITUT MEDICO-EDUCATIF
27930;0501474F;Ecole primaire les lutins
27931;0501477J;Ecole primaire
27932;0501478K;RPI Bacilly Vains
27933;0501479L;EPPU RPI GRAIGNES - TRIBEHOU
27934;0501480M;Ecole primaire
27935;0501481N;Ecole primaire Saint-Romphaire
27936;0501482P;Collège Jules Ferry
27937;0501491Z;Ecole primaire Jules Ferry
27938;0501492A;Ecole primaire Marcel Lepaysant
27939;0501495D;Ecole primaire de la source
27940;0501497F;Ecole primaire Jean Zay
27941;0501498G;Ecole primaire Eugene Mahaut
27942;0501499H;Ecole primaire les Calipotines
27943;0501500J;Ecole primaire l'Yser
27944;0501501K;Ecole primaire Raymond Brule
27945;0501504N;Ecole primaire
27946;0501506R;Ecole primaire
27947;0501507S;Ecole primaire
27948;0501509U;Section d'enseignement général et professionnel adapté du collège Jules Ferry
27949;0501510V;Section d'enseignement général et professionnel adapté du Collège André Malraux
27950;0501518D;Ecole maternelle
27951;0501520F;Ecole primaire
27952;0501521G;Ecole primaire privée Inst Sévigné Croix du Lude
27953;0501522H;Ecole primaire RPI Viridovix (St Fromond)
27954;0501523J;Ecole primaire Guillaume de Normandie
27955;0501524K;Ecole maternelle
27956;0501525L;Collège la Chaussonnière
27957;0501533V;Ecole primaire La Polle
27958;0501536Y;Ecole primaire Jules Ferry
27959;0501538A;Ecole primaire Jean de la Fontaine
27960;0501539B;Ecole maternelle
27961;0501541D;Ecole primaire
27962;0501546J;Ecole primaire Beausejour
27963;0501547K;Ecole élémentaire Anne Frank
27964;0501556V;Ecole primaire
27965;0501578U;Lycée professionnel agricole La salle
27966;0501591H;Section d'enseignement général et professionnel adapté du collège Le Clos Tardif
27967;0501594L;Maison Familiale Rurale de Valognes
27968;0501597P;Maison Familiale Rurale de Saint-Sauveur Lendelin
27969;0501599S;Lycée professionnel maritime et aquacole Daniel Rigolet
27970;0501602V;Ecole maternelle
27971;0501604X;Ecole primaire
27972;0501609C;Ecole primaire
27973;0501610D;Ecole maternelle Suzanne Bres
27974;0501619N;Maison Familiale Rurale de Vains
27975;0501622S;Ecole primaire
27976;0501623T;Ecole primaire
27977;0501626W;Ecole primaire Les Arbres
27978;0501628Y;Ecole primaire
27979;0501629Z;Ecole primaire
27980;0501635F;Ecole primaire privée Sainte Marie
27981;0501636G;ECOLE PRIMAIRE PUBLIQUE
27982;0501644R;Ecole privée Notre-Dame
27983;0501652Z;Ecole maternelle du Manoir
27984;0501654B;Ecole primaire Louis Lucas  de Nehou
27985;0501655C;Ecole élémentaire Marie Lamotte
27986;0501657E;Ecole primaire
27987;0501658F;Ecole primaire des 3 bruyères
27988;0501659G;Ecole primaire
27989;0501661J;Ecole primaire
27990;0501662K;Ecole primaire le Champ Failly
27991;0501664M;Ecole primaire privée Notre-Dame des Anges
27992;0501665N;Ecole primaire privée Notre-Dame
27993;0501666P;Groupe Scolaire Robert Doisneau
27994;0501668S;Groupe scolaire Jean Préroux
27995;0501670U;Maison Familiale Rurale de Condé-sur-Vire
27996;0501671V;Maison Familiale Rurale de La Hague
27997;0501675Z;Section d'enseignement général et professionnel adapté du collège Saint-Exupéry
27998;0501676A;Section d'enseignement général et professionnel adapté du collège Le Dinandier
27999;0501677B;Lycée professionnel Sauxmarais
28000;0501679D;Ecole primaire
28001;0501680E;Ecole primaire Jean Jaurès
28002;0501681F;Ecole primaire Léon Blum
28003;0501682G;Ecole élémentaire Jean Goubert
28004;0501683H;Ecole primaire
28005;0501684J;Ecole primaire
28006;0501685K;Ecole primaire Sainteny
28007;0501686L;Ecole primaire
28008;0501687M;Ecole primaire Blanche et Théophile Maupas
28009;0501688N;Ecole primaire un, deux, trois, soleil
28010;0501690R;Ecole primaire Virey
28011;0501692T;Ecole maternelle
28012;0501695W;Ecole primaire
28013;0501701C;Institut Saint-Lo
28014;0501702D;Collège Saint-Paul
28015;0501703E;Collège Jean-Paul II
28016;0501704F;Collège Notre-Dame de la Providence
28017;0501705G;Collège Sévigné
28018;0501707J;Ecole maternelle les Coquelicots
28019;0501708K;Ecole primaire
28020;0501709L;Ecole maternelle
28021;0501721Z;Ecole primaire Joseph Bocher
28022;0501724C;Ecole élémentaire Jean-Jacques Rousseau
28023;0501726E;Ecole primaire les Roseaux
28024;0501727F;Ecole primaire les Hauts Champs
28025;0501728G;Ecole primaire Jules Ferry
28026;0501729H;Ecole élémentaire Condé-sur-Vire
28027;0501730J;Ecole primaire A. Levaufre
28028;0501731K;Ecole primaire du Rocher
28029;0501732L;Ecole primiare Louis Pergaud
28030;0501733M;Ecole primaire Auderville
28031;0501735P;Maison Familiale Rurale de Granville
28032;0501736R;Maison Familiale Rurale de Coutances
28033;0501739U;Ecole primaire Quettetot   Le Vrétot
28034;0501747C;Ecole maternelle
28035;0501748D;Ecole primaire
28036;0501749E;Ecole primaire Pont de Soulles
28037;0501750F;Ecole primaire
28038;0501752H;Ecole primaire Montsenelle
28039;0501753J;Ecole primaire Guilberville
28040;0501765X;Ecole maternelle La Lande
28041;0501766Y;Ecole primaire le clos marguerite
28042;0501775H;Ecole maternelle Anne Frank
28043;0501778L;Ecole primaire publique Les Avoynes  -  Macé
28044;0501779M;Ecole primaire Lucien Goubert
28045;0501780N;Ecole primaire
28046;0501787W;Lycée professionnel Notre-Dame de la Providence
28047;0501788X;Lycée professionnel Thomas Hélye - Centre La Bucaille
28048;0501789Y;Lycée professionnel le Bon Sauveur
28049;0501791A;Ecole primaire du vieux chêne
28050;0501793C;École des courses hippiques AFASEC - Campus de Graignes
28051;0501796F;Ecole primaire
28052;0501799J;Collège Lucien Goubert
28053;0501801L;Ecole primaire RPI Viridovix (Le Dezert)
28054;0501802M;Ecole primaire
28055;0501803N;Ecole primaire
28056;0501806S;Ecole maternelle Vasteville
28057;0501807T;Groupe scolaire François Mitterrand
28058;0501809V;Ecole primaire Le Quesnay
28059;0501813Z;Ecole primaire Arthur LE DUC
28060;0501814A;Ecole primaire Le Carabe Doré
28061;0501815B;Ecole élémentaire Lecroisey
28062;0501819F;Ecole primaire Henri VALLY
28063;0501820G;Ecole primaire 1, 2, 3 soleil
28064;0501821H;Ecole élémentaire Jacques Prévert
28065;0501824L;Ecole primaire les chardons bleus
28066;0501825M;Lycée professionnel Institut Saint-Lô
28067;0501826N;Ecole primaire les blancs marais
28068;0501828R;Lycée Victor Grignard
28069;0501830T;Collège Léon Jozeau Marigné
28070;0501833W;Ecole primaire
28071;0501834X;Ecole primaire Jules Verne
28072;0501835Y;Ecole primaire Marin Marie
28073;0501837A;Ecole primaire Jules Ferry
28074;0501838B;Ecole primaire Voltaire
28075;0501839C;Lycée Sivard de Beaulieu
28076;0501841E;Ecole primaire Albert Bayet
28077;0501850P;Lycée hôtelier Maurice Marland
28078;0501859Z;Ecole primaire François-Hypolite Garnier
28079;0501870L;Ecole primaire André-Desponts
28080;0501871M;Ecole primaire Pierre Mendes-France
28081;0501880X;Section d'enseignement professionnel du lycée polyvalent Maurice Marland
28082;0501881Y;Section d'enseignement professionnel du lycée polyvalent Robert de Mortain
28083;0501882Z;Ecole primaire
28084;0501916L;Section d'enseignement général et professionnel adapté du collège Louis Pasteur
28085;0501923U;Ecole primaire Docteurs Lanos
28086;0501941N;Institution Notre-Dame - Lycée professionnel
28087;0501973Y;Ecole primaire
28088;0501988P;INSTITUT THERAPEUT. EDUCATIF PEDAGOGIQUE
28089;0501995X;I.M.E LA MONDREE
28090;0502000C;INSTITUT MEDICO-EDUCATIF
28091;0502007K;Ecole de la Sainte Famille
28092;0502009M;Lycée professionnel Thomas Pesquet
28093;0502011P;Ecole primaire Pont-Farcy
28094;0502013S;SAMUEL BECKETT
28095;0502014T;Ecole bilingue Montessori Les Petits Bateaux
28096;0502015U;Ecole primaire Simone Veil
28097;0502017W;Ecole de production privée d'usinage du Cotentin Valognes
28098;0502020Z;Ecole maternelle Les Cricouis
28099;0502021A;Ecole secondaire privée hors contrat les cricouis Bricquebec-en-Cotentin
28100;0509999X;Direction des services départementaux de l'éducation nationale de la Manche
28101;0510001Z;Collège du Mazelot
28102;0510002A;Collège Saint-Exupéry
28103;0510006E;Lycée Pierre Bayen
28104;0510007F;Lycée polyvalent Étienne Oehmichen
28105;0510010J;Collège Victor Duruy
28106;0510011K;Collège Perrot d'Ablancourt
28107;0510016R;Collège Jean Monnet
28108;0510022X;Collège Stéphane Mallarmé
28109;0510026B;Collège de la Brie Champenoise
28110;0510029E;Collège Henri Guillaumet
28111;0510030F;Collège Pierre Souverville
28112;0510031G;Lycée Clemenceau
28113;0510032H;Lycée Jean Jaurès
28114;0510034K;Lycée Roosevelt
28115;0510035L;Lycée Libergier
28116;0510036M;Lycée professionnel Gustave Eiffel
28117;0510037N;Lycée professionnel Raymond Kopa
28118;0510038P;Lycée professionnel Europe
28119;0510044W;Collège Colbert
28120;0510052E;Collège Louis Pasteur
28121;0510053F;Lycée Polyvalent La Fontaine du Vé
28122;0510054G;Collège la Fontaine du Vé
28123;0510056J;Collège Louis Pasteur
28124;0510059M;Collège Eustache Deschamps
28125;0510060N;Collège Paul Éluard
28126;0510062R;Lycée polyvalent François 1er
28127;0510068X;Lycée polyvalent des métiers Stéphane Hessel
28128;0510070Z;Rectorat de l'académie de Reims
28129;0510078H;Ecole élémentaire
28130;0510082M;Ecole maternelle Yser
28131;0510099F;Ecole primaire publique
28132;0510105M;Ecole Primaire Yves Duteil
28133;0510116Z;Ecole Primaire de la Somme-Soude
28134;0510121E;Ecole élémentaire
28135;0510128M;Ecole primaire
28136;0510131R;Ecole élémentaire
28137;0510148J;Ecole élémentaire Arthur Rimbaud
28138;0510150L;Ecole maternelle Arthur Rimbaud
28139;0510159W;Ecole maternelle
28140;0510160X;Ecole élémentaire
28141;0510162Z;Ecole primaire Marcel Jerger
28142;0510165C;Ecole primaire
28143;0510188C;Ecole élémentaire
28144;0510190E;Ecole maternelle
28145;0510200R;Ecole prmaire
28146;0510205W;Ecole primaire
28147;0510214F;Ecole élémentaire Hameau de Sauvage
28148;0510219L;Ecole primaire
28149;0510222P;Ecole maternelle Centre
28150;0510235D;Ecole maternelle des Sources
28151;0510250V;Ecole primaire
28152;0510258D;Ecole maternelle René Chazot
28153;0510259E;Ecole primaire
28154;0510261G;Ecole primaire
28155;0510264K;Ecole élémentaire
28156;0510273V;Ecole maternelle la ribambelle
28157;0510278A;Ecole élémentaire
28158;0510283F;Ecole primaire le Petit Prince
28159;0510288L;Ecole élémentaire
28160;0510290N;Ecole élémentaire
28161;0510292R;Ecole primaire Jean Moulin
28162;0510297W;Ecole primaire
28163;0510303C;Ecole primaire
28164;0510312M;Ecole élémentaire le Village
28165;0510319V;Ecole primaire de l'Ardre
28166;0510320W;Ecole primaire
28167;0510324A;Pôle scolaire primaire des deux Rives
28168;0510325B;Ecole primaire publique à Ecueil
28169;0510330G;Ecole maternelle Centre
28170;0510335M;Ecole primaire publique
28171;0510347A;Ecole élémentaire
28172;0510353G;Ecole elementaire
28173;0510360P;Ecole Primaire
28174;0510369Z;Ecole maternelle Saint-Exupéry
28175;0510370A;Ecole primaire
28176;0510377H;Ecole maternelle la Neuvillette - Jean Jaurès
28177;0510379K;Ecole primaire publique
28178;0510382N;Ecole primaire
28179;0510396D;Ecole primaire
28180;0510405N;Ecole primaire
28181;0510407R;Ecole élémentaire
28182;0510414Y;Ecole primaire
28183;0510420E;Ecole primaire Jules Ferry
28184;0510421F;Ecole élémentaire Aubert Senart
28185;0510422G;Ecole maternelle Renée THIERY
28186;0510423H;Ecole élémentaire Emile Bruyant
28187;0510427M;Ecole primaire
28188;0510432T;Ecole maternelle Jean Moulin
28189;0510445G;Ecole maternelle Roger Garitan
28190;0510449L;Ecole élémentaire
28191;0510454S;Ecole élémentaire La Doline
28192;0510458W;Ecole maternelle les Féchettes
28193;0510480V;Ecole élémentaire Dauphinot
28194;0510486B;Ecole élémentaire Carteret
28195;0510487C;Ecole élémentaire Général Carré
28196;0510490F;Ecole élémentaire Galliéni
28197;0510497N;Ecole élémentaire Jard - Guillaume de Machault
28198;0510501T;Ecole élémentaire Anquetil
28199;0510504W;Ecole élémentaire Tournebonneau
28200;0510509B;Ecole primaire Barthou
28201;0510512E;Ecole élémentaire Voltaire
