row_number;Identifiant_de_l_etablissement;Nom_etablissement
299;0010742B;Ecole primaire
300;0010743C;Ecole primaire
301;0010750K;Ecole élémentaire
302;0010752M;Ecole élémentaire
303;0010753N;Ecole primaire
304;0010755R;Ecole primaire
305;0010758U;Ecole primaire
306;0010762Y;Ecole primaire
307;0010763Z;Ecole primaire
308;0010764A;Ecole élémentaire
309;0010765B;Ecole primaire publique de Montracol
310;0010774L;Ecole primaire  Alphonse Baudin
311;0010777P;Ecole primaire de Brou
312;0010794H;Collège du Valromey
313;0010796K;Collège Émile Cizain
314;0010797L;Ecole maternelle Les Tournelles
315;0010800P;Ecole maternelle Paul Rivet
316;0010802S;Collège Ampère
317;0010803T;Ecole primaire Louis Parant
318;0010805V;Ecole maternelle
319;0010814E;Lycée professionnel Saint-Joseph
320;0010817H;Ecole maternelle
321;0010818J;Circonscription d'inspection du 1er degré de Bourg en Bresse - ASH
322;0010820L;Collège George Sand
323;0010821M;Collège Eugène Dubois
324;0010823P;Collège de Brou
325;0010830X;Ecole primaire privée Jeanne d'Arc
326;0010831Y;Ecole primaire privée
327;0010832Z;Ecole primaire privée
328;0010834B;Ecole primaire privée Saint Joseph
329;0010836D;Ecole primaire privée Jeanne d'Arc
330;0010837E;Ecole primaire privée Saint Joseph
331;0010838F;Ecole primaire privée Saint Joseph
332;0010840H;Ecole primaire privée Sainte Blandine-St Jean Bosco
333;0010841J;Ecole primaire privée Saint Joseph
334;0010842K;Ecole primaire privée Saint Vincent de Paul
335;0010843L;Ecole primaire privée Saint Joseph
336;0010844M;Ecole primaire privée Sainte Thérèse
337;0010846P;Ecole primaire privée Saint Joseph
338;0010848S;Ecole primaire privée Sainte Madeleine
339;0010849T;Ecole primaire privée Jeanne d'Arc
340;0010851V;Ecole primaire privée Sainte Marie
341;0010852W;Ecole primaire privée Sainte-Colombe
342;0010860E;Ecole primaire privée Saint Joseph
343;0010861F;Ecole primaire privée Saint Joseph
344;0010878Z;Lycée polyvalent Jeanne d'Arc
345;0010879A;Ecole primaire Les Montagniers
346;0010881C;Ecole primaire
347;0010886H;Ecole maternelle
348;0010888K;Ecole maternelle
349;0010895T;Collège de l'Huppe
350;0010896U;Collège international
351;0010898W;Ecole maternelle
352;0010901Z;Ecole primaire
353;0010903B;Institut thérapeutique, éducatif et pédagogique de rééducation Thérèse Hérold
354;0010909H;IRPP
355;0010916R;Saphir Ditep de Saint-Jean
356;0010920V;Ecole élémentaire
357;0010921W;Ecole maternelle Les Sources
358;0010922X;Ecole élémentaire Les Sources
359;0010923Y;Ecole maternelle
360;0010928D;Ecole primaire
361;0010929E;Ecole primaire
362;0010931G;Ecole maternelle Le Jura
363;0010932H;Ecole primaire
364;0010934K;Institut médico-éducatif La Savoie
365;0010936M;Institut thérapeutique, éducatif et pédagogique de rééducation Les Moineaux
366;0010938P;Collège les Côtes
367;0010942U;Ecole élémentaire
368;0010943V;ECOLE CHARLES JULIET
369;0010944W;Ecole maternelle Pauline Kergomard
370;0010945X;Ecole primaire
371;0010946Y;Ecole élémentaire
372;0010947Z;Ecole maternelle
373;0010948A;Ecole primaire
374;0010950C;Ecole primaire
375;0010953F;Ecole primaire
376;0010955H;Ecole élémentaire
377;0010956J;Ecole maternelle
378;0010957K;Ecole primaire
379;0010960N;ECOLE PRIMAIRE LES MESANGES
380;0010961P;Ecole primaire des Balmettes
381;0010962R;Ecole primaire de Saint-Bénigne
382;0010963S;Section d'enseignement général et professionnel adapté du Collège Les Côtes
383;0010964T;Collège Anne Frank
384;0010966V;Établissement régional d'enseignement adapté Philibert Commerson
385;0010967W;Ecole élémentaire Henri Deschamps
386;0010968X;Ecole maternelle Henri Deschamps
387;0010969Y;Ecole maternelle Les Vavres
388;0010972B;Ecole primaire Les Dîmes
389;0010974D;Collège Victoire Daubié
390;0010975E;Collège Jacques Prévert
391;0010977G;Ecole primaire Le Bois des Pesses
392;0010980K;Ecole primaire des Terres d'Ain
393;0010981L;Ecole maternelle
394;0010982M;Ecole élémentaire Le Lion
395;0010983N;Ecole maternelle Le Lion
396;0010984P;Ecole primaire
397;0010986S;Ecole primaire Saint-Exupéry
398;0010987T;Collège Jean Rostand
399;0010988U;Section d'enseignement général et professionnel adapté du Collège Victoire Daubié
400;0010991X;Ecole maternelle La Rodette
401;0010992Y;Ecole primaire
402;0010993Z;Ecole élémentaire Les Vertes Campagnes
403;0010996C;Ecole maternelle Les Tourterelles
404;0010999F;Institut médico-éducatif Le Prelion
405;0011009S;Ecole primaire
406;0011010T;Section d'enseignement professionnel du Lycée polyvalent du Bugey
407;0011011U;Collège Marcel Anthonioz
408;0011012V;Section d'enseignement général et professionnel adapté du Collège Georges Charpak
409;0011014X;Ecole primaire
410;0011017A;Ecole primaire intercommunale Jean de la Fontaine
411;0011021E;Ecole primaire
412;0011022F;Ecole élémentaire
413;0011023G;Ecole primaire
414;0011024H;Ecole primaire
415;0011025J;Ecole maternelle Louis Armand
416;0011026K;Ecole élémentaire Louis Armand
417;0011027L;Ecole maternelle
418;0011028M;Ecole primaire Groupe scolaire du Centre
419;0011029N;GROUPE SCOLAIRE SAINT-EXUPERY
420;0011030P;GROUPE SCOLAIRE SAINT-EXUPERY
421;0011031R;Ecole maternelle L'Etraz
422;0011033T;Ecole élémentaire
423;0011034U;Ecole primaire Charles Jarrin
424;0011038Y;Ecole maternelle Parozet
425;0011042C;Ecole primaire
426;0011043D;Ecole maternelle Village
427;0011044E;Ecole primaire
428;0011045F;Ecole primaire Les Grands Chênes
429;0011047H;Centre Psychothérapique de l'Ain Hôpital de jour La Passerelle
430;0011056T;Lycée professionnel privé rural de l'Ain site de Villars-les-Dombes
431;0011057U;Lycée professionnel privé rural de l'Ain site de Nantua
432;0011058V;Lycée agricole privé de Saint-Sorlin
433;0011066D;Collège Louis Dumont
