Nom_etablissement,Type_etablissement,Libelle_departement,latitude,longitude,Restauration,rest_priority_score
Lycée professionnel horticole Agro Campus des 2 vallées,Lycée,Loir-et-Cher,47.56564008,1.32592991,0,0.382453421
Lycée privé Les Frileuses,Lycée,Loir-et-Cher,47.47528445,1.16856057,0,0.382453421
Lycée d'enseignement général et technologique agricole de Fontaines,Lycée,Saône-et-Loire,46.85818536,4.7746428,0,0.382307544
Lycée professionnel agricole de Tournus,Lycée,Saône-et-Loire,46.56332047,4.89263008,0,0.382307544
Maison Familiale Rurale de La Clayette,Autre,Saône-et-Loire,46.28234502,4.3026667,0,0.382307544
Maison Familiale Rurale du Charolais-Brionnais d'Anzy-le-Duc,Autre,Saône-et-Loire,46.31572603,4.05874966,0,0.382307544
Maison Familiale Rurale de Mazille,Autre,Saône-et-Loire,46.39641588,4.61070971,0,0.382307544
Maison Familiale Rurale d'Etang-sur-Arroux,Autre,Saône-et-Loire,46.86482449,4.17854822,0,0.382307544
Lycée agricole Olivier de Serres,Lycée,Ardèche,44.60771395,4.3984644,0,0.379640091
Lycée agricole Étienne Restat,Lycée,Lot-et-Garonne,44.42440697,0.60603747,0,0.379460038
Maison Familiale Rurale de Sainte-Bazeille,Autre,Lot-et-Garonne,44.53332225,0.09771688,0,0.379460038
Maison Familiale Rurale de Bourgougnague,Autre,Lot-et-Garonne,44.62162185,0.41768634,0,0.379460038
Maison Familiale Rurale de Limoise,Autre,Allier,46.69473921,3.05795001,0,0.375914855
Maison Familiale Rurale de Saint-Leopardin d'Augy,Autre,Allier,46.68419844,3.10445022,0,0.375914855
Maison Familiale Rurale de Villevalli,Autre,Yonne,48.02579636,3.31334225,0,0.375580071
Lycée agricole Edgard Pisani,Lycée,Haute-Marne,48.10252924,5.16311943,0,0.375535254
Lycée agricole Carmejane - Maurice Plantier,Lycée,Alpes-de-Haute-Provence,44.038277,6.15104027,0,0.37548502
Maison Familiale Rurale de thiviers,Autre,Dordogne,45.42618886,0.91563123,0,0.373471249
Lycée agricole La Brie,Lycée,Dordogne,44.80974416,0.49266514,0,0.373471249
Lycée d'enseignement général et technologique agricole de Nevers-Cosne,Lycée,Nièvre,47.3907178,2.93148972,0,0.369430185
Lycée agricole Naturapolis,Lycée,Indre,46.78703168,1.69287038,0,0.367897499
Lycée professionnel agricole de Mirande,Lycée,Gers,43.53013518,0.40170998,0,0.363194298
Lycée professionnel agricole,Lycée,Gers,43.65723586,-0.08344344,0,0.363194298
Ecole 2d degré général Le Carouet,École,Gers,43.48813643,0.22652986,0,0.363194298
Maison Familiale Rurale de Saint-Sernin sur Rance,Autre,Aveyron,43.87916014,2.62068992,0,0.361679684
Maison Familiale Rurale de Naucelle,Autre,Aveyron,44.19775005,2.33872291,0,0.361679684
"Lycée général, technologique et professionnel agricole - La Vinadie",Lycée,Lot,44.57090873,2.02600022,0,0.361394713
école primaire,École,Lozère,44.47340666,3.85877976,0,0.353450552
école primaire,École,Lozère,44.14774085,3.77279993,0,0.353450552
école primaire,École,Lozère,44.69601338,3.82607974,0,0.353450552
Ecole primaire privée Saint Roch,École,Lozère,44.51541298,3.13058971,0,0.353450552
école primaire privée la présentation,École,Lozère,44.85623568,3.33013988,0,0.353450552
Ecole primaire privée Saint Joseph,École,Lozère,44.66176239,3.04518944,0,0.353450552
Ecole primaire privée Saint Ferréol,École,Lozère,44.668706,3.48742899,0,0.353450552
E.P.S.PR VOTRE ECOLE CHEZ VOUS FRANCE QUERE 29 rue Merlin,École,Paris,48.86132583,2.38479966,0,0.6
Lycée polyvalent Maximilien Vox,Lycée,Paris,48.85192273,2.33205553,0,0.6
Ecole Saint Louis de coiffure et beauté,École,Paris,48.8779517,2.34905169,0,0.6
Institut supérieur privé Clorivière,Lycée,Paris,48.84800986,2.39126617,0,0.6
Ecole Supérieure de Commerce et de Gestion,Lycée,Paris,48.88369415,2.32889346,0,0.6
Ecole privée Campus de l'Esthétique et du Spa,École,Paris,48.87539903,2.33864931,0,0.6
E.P.PR MONTESSORI LE PETIT D'HOMME 6 rue des Bluets,Autre,Paris,48.86430018,2.38187471,0,0.6
E.P.PR L'ECOLE AUJOURD'HUI 24 boulevard Edgar Quinet,École,Paris,48.84027086,2.32808736,0,0.6
Cours privé Clapeyron,Autre,Paris,48.8758756,2.33538873,0,0.6
École du Breuil Arts et Techniques du Paysage,École,Paris,48.82318877,2.45671363,0,0.6
